DecimalYear,Declination,Inclination,Hor,Total,X,Y,Z
1987.48493,-0.96331,64.15245,20683.8,47442.2,20680.8,-347.7,42695.9
1987.58493,-0.95412,64.15422,20683.5,47444.6,20680.6,-344.4,42698.8
1987.68493,-0.94493,64.156,20683.2,47447.1,20680.4,-341.1,42701.6
1987.78493,-0.93574,64.15777,20683.0,47449.5,20680.2,-337.8,42704.4
1987.88493,-0.92655,64.15954,20682.7,47451.9,20680.0,-334.5,42707.3
1987.98493,-0.91736,64.16131,20682.5,47454.4,20679.8,-331.1,42710.1
1988.08493,-0.90817,64.16308,20682.2,47456.8,20679.6,-327.8,42712.9
1988.18493,-0.89898,64.16485,20682.0,47459.3,20679.4,-324.5,42715.8
1988.28493,-0.88978,64.16662,20681.7,47461.7,20679.2,-321.2,42718.6
1988.38493,-0.88059,64.16839,20681.4,47464.1,20679.0,-317.8,42721.4
1988.48493,-0.8714,64.17016,20681.2,47466.6,20678.8,-314.5,42724.3
1988.58493,-0.86221,64.17192,20680.9,47469.0,20678.6,-311.2,42727.1
1988.68493,-0.85301,64.17369,20680.7,47471.5,20678.4,-307.9,42729.9
1988.78493,-0.84382,64.17545,20680.4,47473.9,20678.2,-304.6,42732.8
1988.88493,-0.83463,64.17722,20680.2,47476.3,20678.0,-301.2,42735.6
1988.98493,-0.82543,64.17898,20679.9,47478.8,20677.8,-297.9,42738.4
1989.08493,-0.81624,64.18074,20679.7,47481.2,20677.6,-294.6,42741.3
1989.18493,-0.80705,64.1825,20679.4,47483.7,20677.4,-291.3,42744.1
1989.28493,-0.79785,64.18426,20679.2,47486.1,20677.2,-288.0,42746.9
1989.38493,-0.78866,64.18602,20678.9,47488.5,20677.0,-284.6,42749.8
1989.48493,-0.77946,64.18778,20678.7,47491.0,20676.8,-281.3,42752.6
1989.58493,-0.77027,64.18954,20678.4,47493.4,20676.6,-278.0,42755.5
1989.68493,-0.76107,64.1913,20678.2,47495.9,20676.3,-274.7,42758.3
1989.78493,-0.75188,64.19306,20677.9,47498.3,20676.1,-271.3,42761.1
1989.88493,-0.74268,64.19481,20677.7,47500.8,20675.9,-268.0,42764.0
1989.98493,-0.73349,64.19657,20677.4,47503.2,20675.7,-264.7,42766.8
1990.08493,-0.72386,64.19774,20677.5,47505.3,20675.8,-261.2,42769.1
1990.18493,-0.71416,64.19881,20677.6,47507.4,20676.0,-257.7,42771.4
1990.28493,-0.70445,64.19987,20677.7,47509.4,20676.1,-254.2,42773.6
1990.38493,-0.69475,64.20094,20677.8,47511.5,20676.3,-250.7,42775.8
1990.48493,-0.68504,64.202,20677.9,47513.6,20676.4,-247.2,42778.1
1990.58493,-0.67534,64.20306,20678.0,47515.6,20676.5,-243.7,42780.3
1990.68493,-0.66563,64.20413,20678.1,47517.7,20676.7,-240.2,42782.5
1990.78493,-0.65593,64.20519,20678.2,47519.7,20676.8,-236.7,42784.8
1990.88493,-0.64622,64.20625,20678.3,47521.8,20677.0,-233.2,42787.0
1990.98493,-0.63652,64.20731,20678.4,47523.9,20677.1,-229.7,42789.3
1991.08493,-0.62682,64.20837,20678.5,47525.9,20677.3,-226.2,42791.5
1991.18493,-0.61711,64.20943,20678.6,47528.0,20677.4,-222.7,42793.7
1991.28493,-0.60741,64.21049,20678.7,47530.0,20677.6,-219.2,42796.0
1991.38493,-0.5977,64.21154,20678.8,47532.1,20677.7,-215.7,42798.2
1991.48493,-0.588,64.2126,20678.9,47534.2,20677.8,-212.2,42800.5
1991.58493,-0.5783,64.21366,20679.0,47536.2,20678.0,-208.7,42802.7
1991.68493,-0.56859,64.21471,20679.2,47538.3,20678.1,-205.2,42804.9
1991.78493,-0.55889,64.21577,20679.3,47540.4,20678.3,-201.7,42807.2
1991.88493,-0.54919,64.21682,20679.4,47542.4,20678.4,-198.2,42809.4
1991.98493,-0.53948,64.21787,20679.5,47544.5,20678.6,-194.7,42811.6
1992.08493,-0.52978,64.21892,20679.6,47546.6,20678.7,-191.2,42813.9
1992.18493,-0.52008,64.21998,20679.7,47548.6,20678.9,-187.7,42816.1
1992.28493,-0.51037,64.22103,20679.8,47550.7,20679.0,-184.2,42818.4
1992.38493,-0.50067,64.22208,20679.9,47552.7,20679.1,-180.7,42820.6
1992.48493,-0.49097,64.22313,20680.0,47554.8,20679.3,-177.2,42822.8
1992.58493,-0.48127,64.22417,20680.2,47556.9,20679.4,-173.7,42825.1
1992.68493,-0.47156,64.22522,20680.3,47558.9,20679.6,-170.2,42827.3
1992.78493,-0.46186,64.22627,20680.4,47561.0,20679.7,-166.7,42829.6
1992.88493,-0.45216,64.22732,20680.5,47563.1,20679.9,-163.2,42831.8
1992.98493,-0.44246,64.22836,20680.6,47565.1,20680.0,-159.7,42834.0
1993.08493,-0.43276,64.22941,20680.7,47567.2,20680.2,-156.2,42836.3
1993.18493,-0.42305,64.23045,20680.9,47569.3,20680.3,-152.7,42838.5
1993.28493,-0.41335,64.23149,20681.0,47571.3,20680.4,-149.2,42840.7
1993.38493,-0.40365,64.23254,20681.1,47573.4,20680.6,-145.7,42843.0
1993.48493,-0.39395,64.23358,20681.2,47575.5,20680.7,-142.2,42845.2
1993.58493,-0.38425,64.23462,20681.3,47577.5,20680.9,-138.7,42847.5
1993.68493,-0.37455,64.23566,20681.5,47579.6,20681.0,-135.2,42849.7
1993.78493,-0.36485,64.2367,20681.6,47581.7,20681.2,-131.7,42851.9
1993.88493,-0.35514,64.23774,20681.7,47583.8,20681.3,-128.2,42854.2
1993.98493,-0.34544,64.23878,20681.8,47585.8,20681.5,-124.7,42856.4
1994.08493,-0.33574,64.23981,20682.0,47587.9,20681.6,-121.2,42858.7
1994.18493,-0.32604,64.24085,20682.1,47590.0,20681.7,-117.7,42860.9
1994.28493,-0.31634,64.24189,20682.2,47592.0,20681.9,-114.2,42863.1
1994.38493,-0.30664,64.24292,20682.3,47594.1,20682.0,-110.7,42865.4
1994.48493,-0.29694,64.24396,20682.5,47596.2,20682.2,-107.2,42867.6
1994.58493,-0.28724,64.24499,20682.6,47598.2,20682.3,-103.7,42869.8
1994.68493,-0.27754,64.24602,20682.7,47600.3,20682.5,-100.2,42872.1
1994.78493,-0.26784,64.24706,20682.8,47602.4,20682.6,-96.7,42874.3
1994.88493,-0.25814,64.24809,20683.0,47604.5,20682.8,-93.2,42876.6
1994.98493,-0.24844,64.24912,20683.1,47606.5,20682.9,-89.7,42878.8
1995.08493,-0.23757,64.25025,20683.5,47609.5,20683.3,-85.8,42881.9
1995.18493,-0.22649,64.25139,20684.0,47612.6,20683.8,-81.8,42885.1
1995.28493,-0.21541,64.25254,20684.5,47615.7,20684.3,-77.8,42888.3
1995.38493,-0.20433,64.25368,20685.0,47618.7,20684.9,-73.8,42891.4
1995.48493,-0.19325,64.25482,20685.5,47621.8,20685.4,-69.8,42894.6
1995.58493,-0.18217,64.25596,20686.0,47624.9,20685.9,-65.8,42897.8
1995.68493,-0.17109,64.2571,20686.4,47628.0,20686.4,-61.8,42901.0
1995.78493,-0.16001,64.25824,20686.9,47631.1,20686.9,-57.8,42904.2
1995.88493,-0.14894,64.25938,20687.4,47634.2,20687.4,-53.8,42907.4
1995.98493,-0.13786,64.26052,20687.9,47637.3,20687.9,-49.8,42910.6
1996.08493,-0.12678,64.26166,20688.4,47640.4,20688.4,-45.8,42913.8
1996.18493,-0.11571,64.26279,20688.9,47643.5,20688.9,-41.8,42917.0
1996.28493,-0.10463,64.26392,20689.4,47646.6,20689.4,-37.8,42920.2
1996.38493,-0.09356,64.26506,20689.9,47649.7,20689.9,-33.8,42923.4
1996.48493,-0.08249,64.26619,20690.4,47652.8,20690.4,-29.8,42926.6
1996.58493,-0.07141,64.26732,20690.9,47655.9,20690.9,-25.8,42929.8
1996.68493,-0.06034,64.26845,20691.4,47659.0,20691.4,-21.8,42933.0
1996.78493,-0.04927,64.26958,20691.9,47662.1,20691.9,-17.8,42936.2
1996.88493,-0.0382,64.27071,20692.4,47665.2,20692.4,-13.8,42939.4
1996.98493,-0.02712,64.27184,20692.9,47668.3,20692.9,-9.8,42942.6
1997.08493,-0.01605,64.27296,20693.4,47671.4,20693.4,-5.8,42945.8
1997.18493,-0.00498,64.27409,20693.9,47674.4,20693.9,-1.8,42949.0
1997.28493,0.00609,64.27521,20694.4,47677.5,20694.4,2.2,42952.2
1997.38493,0.01715,64.27634,20694.9,47680.6,20694.9,6.2,42955.4
